store_id,day,start_time_local,end_time_local
1481966498820158979,4,00:00:00,00:10:00
1481966498820158979,2,00:00:00,00:10:00
1481966498820158979,0,00:00:00,00:10:00
1481966498820158979,1,00:00:00,00:10:00
1481966498820158979,5,00:00:00,00:10:00
1481966498820158979,3,00:00:00,00:10:00
1481966498820158979,6,00:00:00,00:10:00
579100056021594375,5,00:00:00,00:10:00
579100056021594375,1,00:00:00,00:10:00
579100056021594375,3,00:00:00,00:10:00
579100056021594375,4,00:00:00,00:10:00
579100056021594375,2,00:00:00,00:10:00
579100056021594375,0,00:00:00,00:10:00
579100056021594375,6,00:00:00,00:10:00
4573651495882519047,6,00:00:00,00:10:00
4573651495882519047,5,00:00:00,00:10:00
4573651495882519047,2,00:00:00,00:10:00
4573651495882519047,3,00:00:00,00:10:00
4573651495882519047,0,00:00:00,00:10:00
4573651495882519047,1,00:00:00,00:10:00
4573651495882519047,4,00:00:00,00:10:00
5125947543803222292,4,00:00:00,00:10:00
5125947543803222292,2,00:00:00,00:10:00
5125947543803222292,0,00:00:00,00:10:00
5125947543803222292,1,00:00:00,00:10:00
5125947543803222292,3,00:00:00,00:10:00
5125947543803222292,6,00:00:00,00:10:00
5125947543803222292,5,00:00:00,00:10:00
8737584666926498663,2,00:00:00,00:10:00
8737584666926498663,3,00:00:00,00:10:00
8737584666926498663,0,00:00:00,00:10:00
8737584666926498663,5,00:00:00,00:10:00
8737584666926498663,6,00:00:00,00:10:00
8737584666926498663,4,00:00:00,00:10:00
8737584666926498663,1,00:00:00,00:10:00
2629214850687686775,5,00:00:00,00:10:00
2629214850687686775,2,00:00:00,00:10:00
2629214850687686775,4,00:00:00,00:10:00
2629214850687686775,1,00:00:00,00:10:00
2629214850687686775,6,00:00:00,00:10:00
2629214850687686775,3,00:00:00,00:10:00
2629214850687686775,0,00:00:00,00:10:00
3174362223001916035,0,00:00:00,00:10:00
3174362223001916035,3,00:00:00,00:10:00
3174362223001916035,1,00:00:00,00:10:00
3174362223001916035,4,00:00:00,00:10:00
3174362223001916035,5,00:00:00,00:10:00
3174362223001916035,6,00:00:00,00:10:00
3174362223001916035,2,00:00:00,00:10:00
4392930856738603653,6,00:00:00,00:10:00
4392930856738603653,0,00:00:00,00:10:00
4392930856738603653,3,00:00:00,00:10:00
4392930856738603653,2,00:00:00,00:10:00
4392930856738603653,5,00:00:00,00:10:00
4392930856738603653,4,00:00:00,00:10:00
4392930856738603653,1,00:00:00,00:10:00
6091506400240409510,2,00:00:00,00:10:00
6091506400240409510,3,00:00:00,00:10:00
6091506400240409510,0,00:00:00,00:10:00
6091506400240409510,4,00:00:00,00:10:00
6091506400240409510,6,00:00:00,00:10:00
6091506400240409510,1,00:00:00,00:10:00
6091506400240409510,5,00:00:00,00:10:00
6630839090709105338,3,00:00:00,00:10:00
6630839090709105338,0,00:00:00,00:10:00
6630839090709105338,2,00:00:00,00:10:00
6630839090709105338,4,00:00:00,00:10:00
6630839090709105338,5,00:00:00,00:10:00
6630839090709105338,6,00:00:00,00:10:00
6630839090709105338,1,00:00:00,00:10:00
3638987518162252748,1,00:00:00,00:10:00
3638987518162252748,0,00:00:00,00:10:00
3638987518162252748,5,00:00:00,00:10:00
3638987518162252748,2,00:00:00,00:10:00
3638987518162252748,6,00:00:00,00:10:00
3638987518162252748,4,00:00:00,00:10:00
3638987518162252748,3,00:00:00,00:10:00
2515627945516218332,0,00:00:00,00:10:00
2515627945516218332,2,00:00:00,00:10:00
2515627945516218332,3,00:00:00,00:10:00
2515627945516218332,5,00:00:00,00:10:00
2515627945516218332,4,00:00:00,00:10:00
2515627945516218332,6,00:00:00,00:10:00
7988087393647335944,5,00:00:00,00:15:00
7988087393647335944,6,00:00:00,00:15:00
7776801514628453420,1,00:00:00,00:15:00
7776801514628453420,5,00:00:00,00:15:00
7776801514628453420,2,00:00:00,00:15:00
7776801514628453420,3,00:00:00,00:15:00
7776801514628453420,4,00:00:00,00:15:00
5339221772537987908,0,00:00:00,00:15:00
5339221772537987908,4,00:00:00,00:15:00
5339221772537987908,3,00:00:00,00:15:00
5339221772537987908,2,00:00:00,00:15:00
1426925701648885844,5,00:00:00,00:15:00
1426925701648885844,6,00:00:00,00:15:00
1934295012681375340,6,00:00:00,00:15:00
1934295012681375340,5,00:00:00,00:15:00
9209848539305894530,6,00:00:00,00:15:00
9209848539305894530,4,00:00:00,00:15:00
9209848539305894530,5,00:00:00,00:15:00
5060510610554371981,5,00:00:00,00:15:00
5060510610554371981,4,00:00:00,00:15:00
5060510610554371981,2,00:00:00,00:15:00
5060510610554371981,3,00:00:00,00:15:00
